1518.900000,7.0870E-008,1518.900000,7.0870E-008,1518.900000,7.0870E-008
1518.950000,-5.5980E-009,1518.950000,-5.5980E-009,1518.950000,-5.5980E-009
1519.000000,5.1650E-008,1519.000000,5.1650E-008,1519.000000,5.1650E-008
1519.050000,3.9570E-008,1519.050000,3.9570E-008,1519.050000,3.9570E-008
1519.100000,5.2280E-009,1519.100000,5.2280E-009,1519.100000,5.2280E-009
1519.150000,3.5360E-008,1519.150000,3.5360E-008,1519.150000,3.5360E-008
1519.200000,-4.9670E-009,1519.200000,-4.9670E-009,1519.200000,-4.9670E-009
1519.250000,4.7370E-008,1519.250000,4.7370E-008,1519.250000,4.7370E-008
1519.300000,-4.4540E-009,1519.300000,-4.4540E-009,1519.300000,-4.4540E-009
1519.350000,-1.9070E-008,1519.350000,-1.9070E-008,1519.350000,-1.9070E-008
1519.400000,-3.9970E-009,1519.400000,-3.9970E-009,1519.400000,-3.9970E-009
1519.450000,1.5860E-008,1519.450000,1.5860E-008,1519.450000,1.5860E-008
1519.500000,1.8010E-008,1519.500000,1.8010E-008,1519.500000,1.8010E-008
1519.550000,3.2790E-008,1519.550000,3.2790E-008,1519.550000,3.2790E-008
1519.600000,1.3420E-008,1519.600000,1.3420E-008,1519.600000,1.3420E-008
1519.650000,5.0600E-008,1519.650000,5.0600E-008,1519.650000,5.0600E-008
1519.700000,3.2140E-008,1519.700000,3.2140E-008,1519.700000,3.2140E-008
1519.750000,6.3480E-008,1519.750000,6.3480E-008,1519.750000,6.3480E-008
1519.800000,8.2660E-009,1519.800000,8.2660E-009,1519.800000,8.2660E-009
1519.850000,2.5460E-008,1519.850000,2.5460E-008,1519.850000,2.5460E-008
1519.900000,-4.5740E-009,1519.900000,-4.5740E-009,1519.900000,-4.5740E-009
1519.950000,5.4620E-008,1519.950000,5.4620E-008,1519.950000,5.4620E-008
1520.000000,1.4690E-008,1520.000000,1.4690E-008,1520.000000,1.4690E-008
1520.050000,6.0670E-008,1520.050000,6.0670E-008,1520.050000,6.0670E-008
1520.100000,3.0230E-008,1520.100000,3.0230E-008,1520.100000,3.0230E-008
1520.150000,5.6230E-008,1520.150000,5.6230E-008,1520.150000,5.6230E-008
1520.200000,2.8570E-008,1520.200000,2.8570E-008,1520.200000,2.8570E-008
1520.250000,7.9820E-009,1520.250000,7.9820E-009,1520.250000,7.9820E-009
1520.300000,1.0130E-007,1520.300000,1.0130E-007,1520.300000,1.0130E-007
1520.350000,6.2030E-008,1520.350000,6.2030E-008,1520.350000,6.2030E-008
1520.400000,6.4620E-008,1520.400000,6.4620E-008,1520.400000,6.4620E-008
1520.450000,5.0530E-008,1520.450000,5.0530E-008,1520.450000,5.0530E-008
1520.500000,5.7400E-008,1520.500000,5.7400E-008,1520.500000,5.7400E-008
1520.550000,6.0280E-008,1520.550000,6.0280E-008,1520.550000,6.0280E-008
1520.600000,2.1460E-008,1520.600000,2.1460E-008,1520.600000,2.1460E-008
1520.650000,9.3840E-008,1520.650000,9.3840E-008,1520.650000,9.3840E-008
1520.700000,3.3120E-008,1520.700000,3.3120E-008,1520.700000,3.3120E-008
1520.750000,6.6490E-008,1520.750000,6.6490E-008,1520.750000,6.6490E-008
1520.800000,8.3230E-008,1520.800000,8.3230E-008,1520.800000,8.3230E-008
1520.850000,6.8990E-008,1520.850000,6.8990E-008,1520.850000,6.8990E-008
1520.900000,6.1390E-008,1520.900000,6.1390E-008,1520.900000,6.1390E-008
1520.950000,9.8220E-008,1520.950000,9.8220E-008,1520.950000,9.8220E-008
1521.000000,4.7240E-008,1521.000000,4.7240E-008,1521.000000,4.7240E-008
1521.050000,8.9430E-008,1521.050000,8.9430E-008,1521.050000,8.9430E-008
1521.100000,6.7370E-008,1521.100000,6.7370E-008,1521.100000,6.7370E-008
1521.150000,7.6780E-008,1521.150000,7.6780E-008,1521.150000,7.6780E-008
1521.200000,5.2810E-008,1521.200000,5.2810E-008,1521.200000,5.2810E-008
1521.250000,7.3770E-008,1521.250000,7.3770E-008,1521.250000,7.3770E-008
1521.300000,1.1440E-007,1521.300000,1.1440E-007,1521.300000,1.1440E-007
1521.350000,8.9920E-008,1521.350000,8.9920E-008,1521.350000,8.9920E-008
1521.400000,2.4410E-008,1521.400000,2.4410E-008,1521.400000,2.4410E-008
1521.450000,1.0690E-007,1521.450000,1.0690E-007,1521.450000,1.0690E-007
