,Ancho_espectral,Potencia,Theta2,Theta1,Theta3,Clases
1199,160.3493627867458,7.140525,96.0,92.0,0,0
1200,206.4978759558201,7.115125,96.0,96.0,0,2
1201,208.448598130841,7.049925,96.0,100.0,0,2
1202,231.80152931180987,7.117100000000001,96.0,104.0,0,0
1203,258.72149532710296,6.9868,96.0,108.0,0,0
1204,213.96635514018703,6.974775,96.0,112.0,0,0
1205,266.2735768903992,7.091175,96.0,116.0,0,0
1206,299.2965165675446,6.9637400000000005,96.0,120.0,0,0
1207,258.97230246389154,6.908,96.0,124.0,0,0
1208,226.7853865760408,6.994425000000001,96.0,128.0,0,0
1209,236.73406966864923,7.065250000000001,96.0,132.0,0,0
1210,224.890399320306,7.0767,96.0,136.0,0,0
1211,256.68717077315205,7.0413749999999995,96.0,140.0,0,0
1212,250.194052676296,6.93025,96.0,144.0,0,0
1213,264.7129991503823,6.90715,96.0,148.0,0,0
1214,273.8813933729823,6.9222,96.0,152.0,0,0
1215,270.4815632965167,6.934349999999999,96.0,156.0,0,0
1216,237.3192863211557,6.961824999999999,96.0,160.0,0,0
1217,208.5043330501276,7.0794,96.0,164.0,0,0
1218,239.13067119796096,7.11944,96.0,168.0,0,0
1219,230.24095157179272,7.076075,96.0,172.0,0,0
1220,228.20662701784204,7.0863000000000005,96.0,176.0,0,0
1221,217.8956669498725,7.09875,96.0,180.0,0,0
1222,190.44621920135955,7.153575,96.0,184.0,0,2
1223,181.38929481733248,7.28235,96.0,188.0,0,2
1224,219.79065420560727,7.31575,96.0,192.0,0,0
1225,195.545964316058,7.057675000000001,100.0,0.0,0,2
1226,210.73372982158023,7.075675,100.0,4.0,0,2
1227,208.00271877655064,7.05095,100.0,8.0,0,2
1228,208.6994052676298,7.0325,100.0,12.0,0,2
1229,208.22565845369604,7.0465,100.0,16.0,0,2
1230,193.51163976210705,7.0688,100.0,20.0,0,2
1231,198.58351741716228,7.0668,100.0,24.0,0,2
1232,208.08632115548016,7.028767,100.0,28.0,0,2
1233,255.01512319456265,6.940725,100.0,32.0,0,0
1234,288.2610025488532,6.832075,100.0,36.0,0,0
1235,280.0679694137639,6.762325,100.0,40.0,0,0
1236,288.0101954120646,6.71598,100.0,44.0,0,0
1237,280.17943925233635,6.732125,100.0,48.0,0,0
1238,273.3519116397624,6.757625,100.0,52.0,0,0
1239,263.8769753610877,6.77885,100.0,56.0,0,0
1240,242.33542905692437,6.8099750000000006,100.0,60.0,0,0
1241,214.16142735768904,6.8648750000000005,100.0,64.0,0,0
1242,213.799150382328,6.9298,100.0,68.0,0,0
1243,212.5729821580289,7.001399999999999,100.0,72.0,0,2
1244,201.28666100254893,7.074725,100.0,76.0,0,2
1245,203.93406966864904,7.1071,100.0,80.0,0,2
1246,193.1772302463892,7.10616,100.0,84.0,0,2
1247,189.5823279524216,7.114050000000001,100.0,88.0,0,2
1248,244.98283772302463,7.0739,100.0,92.0,0,0
1249,175.31418861512316,7.097275,100.0,96.0,0,0
1250,232.05233644859845,7.03205,100.0,100.0,0,0
1251,249.88751062022084,6.91405,100.0,104.0,0,0
1252,259.8361937128293,7.006675,100.0,108.0,0,0
1253,214.5237043330501,7.007575,100.0,112.0,0,0
1254,265.07527612574336,7.089033,100.0,116.0,0,0
1255,297.2343245539507,6.9748,100.0,120.0,0,0
1256,237.43075615972816,6.904450000000001,100.0,124.0,0,0
1257,232.30314358538655,7.01586,100.0,128.0,0,0
1258,222.1872557349193,7.050875,100.0,132.0,0,0
1259,232.86049277824984,7.0181000000000004,100.0,136.0,0,0
1260,243.53372982158044,6.894425,100.0,140.0,0,0
1261,244.9271028037385,6.8361,100.0,144.0,0,0
1262,263.960577740017,6.8189,100.0,148.0,0,0
1263,269.5619371282924,6.81285,100.0,152.0,0,0
1264,264.32285471537807,6.8015669999999995,100.0,156.0,0,0
1265,260.7000849617673,6.782425,100.0,160.0,0,0
1266,288.28887000849613,6.7505500000000005,100.0,164.0,0,0
1267,255.34953271028053,6.8075,100.0,168.0,0,0
