1514.350000,9.1270E-009,1514.350000,9.1270E-009,1514.350000,9.1270E-009
1514.400000,-3.5280E-008,1514.400000,-3.5280E-008,1514.400000,-3.5280E-008
1514.450000,4.4480E-008,1514.450000,4.4480E-008,1514.450000,4.4480E-008
1514.500000,4.0910E-008,1514.500000,4.0910E-008,1514.500000,4.0910E-008
1514.550000,-3.5910E-008,1514.550000,-3.5910E-008,1514.550000,-3.5910E-008
1514.600000,1.1010E-008,1514.600000,1.1010E-008,1514.600000,1.1010E-008
1514.650000,3.7160E-008,1514.650000,3.7160E-008,1514.650000,3.7160E-008
1514.700000,5.9640E-009,1514.700000,5.9640E-009,1514.700000,5.9640E-009
1514.750000,-2.4760E-008,1514.750000,-2.4760E-008,1514.750000,-2.4760E-008
1514.800000,2.4450E-008,1514.800000,2.4450E-008,1514.800000,2.4450E-008
1514.850000,1.1440E-008,1514.850000,1.1440E-008,1514.850000,1.1440E-008
1514.900000,1.2630E-008,1514.900000,1.2630E-008,1514.900000,1.2630E-008
1514.950000,3.1730E-008,1514.950000,3.1730E-008,1514.950000,3.1730E-008
1515.000000,-3.0760E-009,1515.000000,-3.0760E-009,1515.000000,-3.0760E-009
1515.050000,-2.6090E-008,1515.050000,-2.6090E-008,1515.050000,-2.6090E-008
1515.100000,2.6720E-008,1515.100000,2.6720E-008,1515.100000,2.6720E-008
1515.150000,2.3120E-008,1515.150000,2.3120E-008,1515.150000,2.3120E-008
1515.200000,-3.4130E-008,1515.200000,-3.4130E-008,1515.200000,-3.4130E-008
1515.250000,3.4140E-009,1515.250000,3.4140E-009,1515.250000,3.4140E-009
1515.300000,9.2150E-009,1515.300000,9.2150E-009,1515.300000,9.2150E-009
1515.350000,5.7370E-008,1515.350000,5.7370E-008,1515.350000,5.7370E-008
1515.400000,2.3530E-008,1515.400000,2.3530E-008,1515.400000,2.3530E-008
1515.450000,-2.3240E-008,1515.450000,-2.3240E-008,1515.450000,-2.3240E-008
1515.500000,4.0440E-008,1515.500000,4.0440E-008,1515.500000,4.0440E-008
1515.550000,5.1940E-008,1515.550000,5.1940E-008,1515.550000,5.1940E-008
1515.600000,1.9120E-008,1515.600000,1.9120E-008,1515.600000,1.9120E-008
1515.650000,1.1430E-008,1515.650000,1.1430E-008,1515.650000,1.1430E-008
