Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
12,32,0,10.41417336,0.012289,1
20,32,0,10.74575671,0.01228075,1
28,32,0,10.03960699,0.012273,1
32,32,0,10.74575671,0.012283,1
36,32,0,10.02732612,0.01231775,0
40,32,0,10.45715639,0.0123055,1
44,32,0,10.47557769,0.0122975,1
48,32,0,9.904517474,0.012301,0
52,32,0,9.965921798,0.012282,0
56,32,0,10.10101131,0.0122775,0
60,32,0,10.02118569,0.01226975,0
64,32,0,10.02118569,0.01225575,0
68,32,0,10.03346655,0.012262,0
72,32,0,10.13785391,0.01224825,1
76,32,0,9.922938771,0.01224725,0
80,32,0,9.450125476,0.01230025,0
84,32,0,9.873815312,0.012258,0
88,32,0,9.732585367,0.012274,0
92,32,0,9.622057583,0.01229325,0
96,32,0,9.499248935,0.01228225,0
100,32,0,9.523810665,0.01227575,0
104,32,0,9.425563746,0.01228175,0
108,32,0,9.646619313,0.01224475,0
112,32,0,9.757147096,0.012264,0
116,32,0,9.892236609,0.01226275,0
120,32,0,9.879955744,0.012267,0
124,32,0,10.07030915,0.01226125,0
128,32,0,10.12557304,0.01225125,0
132,32,0,9.462406341,0.012264,0
136,32,0,10.08873045,0.01223675,0
140,32,0,10.20539866,0.01227275,0
144,32,0,10.11329218,0.012226,0
148,32,0,10.11329218,0.0122345,0
152,32,0,9.972062231,0.01225725,0
156,32,0,9.603636286,0.01227025,0
164,32,0,9.849253582,0.01227925,0
168,32,0,9.879955744,0.01232,0
172,32,0,9.437844611,0.01230675,0
176,32,0,9.812410988,0.01227875,0
180,32,0,9.861534447,0.01231275,0
184,32,0,10.05802828,0.012296,0
188,32,0,9.450125476,0.012313,0
192,32,0,9.468546773,0.01230875,0
196,32,0,9.327316828,0.01231725,0
200,32,0,9.364159422,0.01232225,0
204,32,0,9.33345726,0.01231225,0
208,32,0,9.419423314,0.01232,0
212,32,0,9.517670232,0.01226025,0
0,36,0,10.27294342,0.01223975,1
4,36,0,10.27908385,0.0122475,1
8,36,0,10.4203138,0.0122415,1
12,36,0,10.25452212,0.0122435,1
16,36,0,10.82558234,0.01224375,1
